latitude,longitude,altitude,bearing
13.0827,80.27068,11.0,
13.08307,80.27063,11.0,352.50141254848467
13.08332,80.27059,11.0,351.1418987258608
13.08347,80.27057,8.0,352.6002901189706
13.08396,80.2705,8.0,352.07824580585054
13.08418,80.27047,8.0,352.4340634179972
13.08429,80.27044,8.0,345.1231542692028
13.08434,80.27032,8.0,293.1599210232566
13.08455,80.26981,8.0,292.91578808441574
13.0847,80.26948,8.0,295.01668785940785
13.08475,80.26933,8.0,288.8919161634037
13.08479,80.26917,8.0,284.39505220857075
13.08489,80.26868,10.0,281.8335835419308
13.08491,80.2685,10.0,276.5077878898733
13.08492,80.26822,10.0,272.0999154641782
13.08492,80.26791,10.0,270.00003509115163
13.08495,80.26776,10.0,281.60335961901353
13.08496,80.26772,10.0,284.39504898006055
13.085,80.26756,10.0,284.3950639610245
13.08522,80.26678,10.0,286.1495195487217
13.08523,80.26668,10.0,275.861789913498
13.08524,80.26659,10.0,276.5077864710091
13.08529,80.2663,10.0,280.03798219652225
13.08531,80.26615,10.0,277.794662157954
13.08537,80.26569,10.0,277.6272661823552
13.08544,80.2651,11.0,276.94487904918276
13.08548,80.26467,11.0,275.4554299231207
13.08552,80.26434,12.0,277.09365750791454
13.08553,80.26419,12.0,273.9154592603532
13.08558,80.26291,12.0,272.29669696206247
13.08564,80.26255,12.0,279.7098811668014
13.08575,80.26227,13.0,291.96576107523396
13.08578,80.26221,13.0,297.17279799166425
13.08578,80.26219,13.0,270.0000022637974
13.0858,80.26217,13.0,315.7536690266478
13.08581,80.26216,13.0,315.75366964196803
13.08606,80.26184,13.0,308.7323939728551
13.08617,80.26159,13.0,294.31020059476384
13.08619,80.26154,13.0,292.32623165014775
13.08622,80.26149,13.0,301.6329558246847
13.08624,80.2614,13.0,282.85190499416683
13.08625,80.26135,13.0,281.6034082936971
13.08628,80.26122,13.0,283.32888209763445
13.0863,80.26118,13.0,297.1728453062024
13.08661,80.2608,13.0,309.94759121637367
13.08665,80.26069,13.0,290.4722369268127
13.08668,80.26059,13.0,287.1187986869071
13.08668,80.26056,13.0,270.0000033957085
13.08689,80.25913,11.0,278.57400701908034
13.08692,80.25892,11.0,278.34390041706877
13.08693,80.25871,11.0,272.7989174407801
13.08694,80.25855,11.0,273.67145772590845
13.08692,80.25836,11.0,263.83200519519477
13.08691,80.25821,10.0,266.0845526900332
13.08677,80.25769,10.0,254.54874461046046
13.08671,80.25751,10.0,251.10797770983595
13.08639,80.25661,10.0,249.9462072810102
13.08636,80.25652,10.0,251.1079935136883
13.0863,80.25645,10.0,228.65234860431852
13.08629,80.25641,10.0,255.60488507847833
13.08627,80.25638,10.0,235.61064700805534
13.08611,80.25591,12.0,250.7354355915558
13.08598,80.25558,12.0,247.97954646317095
13.08596,80.25552,12.0,251.10801895778428
13.08592,80.25542,12.0,247.6738049409646
13.0858,80.25506,12.0,251.10806075119166
13.0857,80.25479,12.0,249.18100230430275
13.08568,80.25475,12.0,242.8272204084896
13.08566,80.25473,12.0,224.24634944538073
13.08564,80.25471,12.0,224.24635174623816
13.08554,80.25468,12.0,196.28888774719067
13.08549,80.2547,12.0,158.71344810744768
13.08542,80.2547,12.0,180.0
13.08468,80.25465,11.0,183.76539297817257
13.08429,80.25462,11.0,184.28493748672662
13.08369,80.25457,11.0,184.64052695357114
13.08345,80.25456,11.0,182.3240770726432
13.08333,80.25455,11.0,184.64053367056627
13.08317,80.25453,11.0,186.94189709144567
13.08233,80.25447,11.0,183.9799232646524
13.08191,80.25465,11.0,157.3419529863745
13.08171,80.25478,11.0,147.66081174082137
13.08159,80.25484,11.0,154.03278786765725
13.08148,80.25487,11.0,165.12299178817761
13.0813,80.25485,11.0,186.17695169500863
13.08081,80.25479,11.0,186.80163110292278
13.08036,80.25472,11.0,188.6158890764076
13.08022,80.2547,11.0,187.92187302438018
13.07996,80.25465,11.0,190.60959830031732
13.07968,80.2546,11.0,189.8672296670362
13.0795,80.25459,11.0,183.0974985650428
